Date-Time wind dlwrf dswrf tas shum pres ppt
01/28/1998-00 0.7645062 425.1104 0.00000 299.4708 0.02037451 100778.1 0.0000000
01/28/1998-03 0.7151593 425.4335 0.00000 297.9185 0.01846148 100865.4 0.0000000
01/28/1998-06 0.6891867 420.8617 0.00000 297.7821 0.01827082 100911.8 0.0000000
01/28/1998-09 0.6865883 420.5899 25.77693 299.0616 0.01992545 100917.6 0.0000000
01/28/1998-12 0.8074856 430.4338 387.52700 301.5438 0.02358724 100879.6 0.0000000
01/28/1998-15 1.0518790 429.6879 702.24880 305.2288 0.02947777 100797.8 0.0000000
01/28/1998-18 1.1515350 445.4924 423.47570 305.4691 0.02973046 100798.3 0.0000000
01/28/1998-21 1.1064540 446.1610 82.97701 302.2649 0.02456458 100881.2 0.0000000
01/29/1998-00 0.9793396 420.8450 0.00000 299.8451 0.02122382 100897.8 0.0483505
01/29/1998-03 0.7701922 421.3245 0.00000 297.5131 0.01834336 100847.9 0.0000000
01/29/1998-06 0.6601370 420.1672 0.00000 296.9462 0.01755203 100853.8 0.0000000
01/29/1998-09 0.6491739 419.9198 24.12509 298.1443 0.01899214 100915.8 0.0000000
01/29/1998-12 0.7502925 431.2108 383.52770 300.9195 0.02295890 100840.9 0.0000000
01/29/1998-15 0.9634928 430.3262 697.89450 305.2716 0.02983158 100629.2 0.0000000
01/29/1998-18 1.0674920 444.3663 427.40380 305.7730 0.03038644 100565.7 0.0000000
01/29/1998-21 1.0622890 445.0581 88.91187 302.4234 0.02490715 100650.6 0.0000000
01/30/1998-00 1.0108440 426.2743 0.00000 299.8818 0.02149389 100695.6 0.0000000
01/30/1998-03 0.9131543 426.6150 0.00000 298.1989 0.01948292 100700.8 0.0000000
01/30/1998-06 0.8306537 419.9517 0.00000 297.6700 0.01890621 100724.5 0.0000000
01/30/1998-09 0.7633420 419.8287 23.53617 298.2952 0.01968206 100766.7 0.0000000
01/30/1998-12 0.7942392 431.6038 373.79580 300.6461 0.02273845 100744.8 0.0000000
